Arrivée,Départ,Indemnité,Ménage,Plateforme,Pers.,Configuration,Commentaire
18/10/2026,23/10/2026,,,Airbnb,3,Double + 2 Simples,
29/08/2026,30/08/2026,,,Airbnb,3,Double + Simple,
16/08/2026,22/08/2026,,,Abritel,3,Double + Simple,
25/07/2026,27/07/2026,,,Abritel,4,Double + 2 Simples,
17/07/2026,19/07/2026,,,Abritel,4,Double + 2 Simples,
11/07/2026,12/07/2026,,,Airbnb,3,Double + Simple,
03/07/2026,06/07/2026,,,Airbnb,4,Double + 2 Simples,Reconstitution Versailles
27/06/2026,28/06/2026,,,Airbnb,3,Double + Simple,Deuxière réservation
14/06/2026,16/06/2026,,,Airbnb,2,Double + Simple,
05/06/2026,07/06/2026,,,Airbnb,3,Double + Simple,
02/06/2026,04/06/2026,,,Airbnb,3,,
26/05/2026,27/05/2026,,,Airbnb,4,Double + 2 Simples,
23/05/2026,25/05/2026,,,Booking,4,Double + Simple + Bébé,
22/05/2026,25/05/2026,,,Abritel,4,Double + Simple + Bébé,
16/05/2026,17/05/2026,,,Airbnb,4,Double + 2 Simples,
08/05/2026,10/05/2026,,,Abritel,4,Double + 2 Simples,
01/05/2026,03/05/2026,,,Airbnb,4,Double + 2 Simples,
29/04/2026,30/04/2026,,,Booking,3,Double + Simple,
23/04/2026,24/04/2026,,,Booking,3,,
21/04/2026,23/04/2026,,,Booking,4,Double + Simple + Bébé,Lit bébé avec lit double
18/04/2026,19/04/2026,,,Booking,2,Double,
13/04/2026,16/04/2026,,,Booking,3,Double + Simple,
11/04/2026,12/04/2026,,,Booking,3,Double + Simple,
08/04/2026,09/04/2026,,,Booking,3,Double + Simple,
05/04/2026,08/04/2026,,,Booking,3,Double + Simple,
04/04/2026,05/04/2026,,,Booking,3,Double + 2 Simples,
01/04/2026,03/04/2026,,,Booking,3,Double + Simple,
28/03/2026,29/03/2026,,,Airbnb,4,Double + 2 Simples,
23/03/2026,24/03/2026,,,Booking,1,Double,Sauce pesto + comté + huile d'olive
16/03/2026,20/03/2026,,,Airbnb,2,Double + Simple,
12/03/2026,13/03/2026,,,Booking,3,Double + Bébé,Lit bébé avec lit double
28/02/2026,02/03/2026,,,Booking,4,Double + Simple + Bébé,Lit bébé dans chambre double
23/02/2026,24/02/2026,,,Booking,2,Double + Simple,
20/02/2026,22/02/2026,,,Booking,3,Double + Simple,
18/02/2026,19/02/2026,,,Airbnb,4,Double + 2 Simples,
16/02/2026,17/02/2026,,,Airbnb,4,Double + 2 Simples,
14/02/2026,15/02/2026,,,Booking,3,Double + Simple,
10/02/2026,12/02/2026,,,Booking,3,Double + 2 Simples,
08/02/2026,09/02/2026,,,Booking,3,Double + Simple,
03/02/2026,05/02/2026,,,Booking,2,Double + Simple,Facture demandée
17/01/2026,01/02/2026,,,Abritel,2,Double + 2 Simples,Micro ondes et pièces laissées
08/01/2026,09/01/2026,,,Airbnb,2,Double + Simple,
27/12/2025,31/12/2025,,"34,96 €",Abritel,3,Double + Simple,Ménage prévu le 26
24/12/2025,26/12/2025,,"34,96 €",Airbnb,4,Double + 2 Simples,Ménage prévu le 23
20/12/2025,22/12/2025,,,Abritel,3,Double + 2 Simples,
12/12/2025,14/12/2025,,,Booking,2,Double,Facture demandée
20/11/2025,21/11/2025,"45,00 €",,Airbnb,2,Double + Bébé,Non honorée
08/11/2025,15/11/2025,,,Booking,2,Double + Simple,
01/11/2025,08/11/2025,,,Booking,3,Double + Simple,
29/10/2025,31/10/2025,,,Airbnb,4,Double + 2 Simples,
25/10/2025,27/10/2025,,,Booking,3,Double + Simple + Bébé,
22/10/2025,24/10/2025,,,Airbnb,2,Double + Simple,
15/09/2025,21/09/2025,,,Airbnb,3,Double + 2 Simples,
13/09/2025,14/09/2025,,,Airbnb,3,Double + Simple,
22/08/2025,24/08/2025,,,Airbnb,2,Double,Modification (-1j)
16/08/2025,19/08/2025,,,Airbnb,4,Double + 2 Simples,
09/08/2025,10/08/2025,,,Airbnb,2,Double,
26/07/2025,28/07/2025,,,Airbnb,4,Double + 2 Simples,
19/07/2025,20/07/2025,,,Airbnb,4,Double + 2 Simples,
05/07/2025,06/07/2025,,,Airbnb,4,Double + 2 Simples,
02/07/2025,04/07/2025,,,Airbnb,4,Double + Simple + Bébé,
28/06/2025,29/06/2025,,,Airbnb,4,Double + 2 Simples,
25/06/2025,26/06/2025,,,Airbnb,4,Double + 2 Simples,
21/06/2025,22/06/2025,,,Airbnb,4,Double + 2 Simples,
14/06/2025,15/06/2025,,,Airbnb,2,Double + Simple,
10/06/2025,11/06/2025,,,Airbnb,4,Double + Simple + Bébé,
07/06/2025,09/06/2025,,,Airbnb,4,Double + Simple + Bébé,
29/05/2025,31/05/2025,,,Airbnb,4,Double + 2 Simples,
